player1,player2,winner,total_moves,player1_avg_time,player2_avg_time,timestamp,game_length_category
Minimax,Greedy,player1,17,0.9620754718780518,0.0001479983329772,2025-12-15T18:26:45.711410,Short
Greedy,Minimax,player2,46,0.0003225492394488,1.0099179122758948,2025-12-15T18:27:08.950041,Short
Minimax,Greedy,player1,17,0.9610893196529812,0.000195562839508,2025-12-15T18:27:17.601410,Short
Greedy,Minimax,player2,46,0.0005243135535198,1.0015807255454685,2025-12-15T18:27:40.649826,Short
Minimax,Greedy,player1,17,0.9604224628872342,0.0003169476985931,2025-12-15T18:27:49.296163,Short
Greedy,Minimax,player2,46,0.0003920430722443,1.0100559048030688,2025-12-15T18:28:12.536466,Short
Minimax,Greedy,player1,17,0.9685582319895426,0.0002586543560028,2025-12-15T18:28:21.257068,Short
Greedy,Minimax,player2,46,0.0001443469006082,1.0148567635080088,2025-12-15T18:28:44.602653,Short
Minimax,Greedy,player1,21,1.0803977792913264,0.0002662658691406,2025-12-15T18:28:56.489692,Short
Greedy,Minimax,player2,46,0.000145269476849,1.0001487109972085,2025-12-15T18:29:19.497486,Short
Minimax,Greedy,player1,21,1.0961067026311702,0.0004801273345947,2025-12-15T18:29:31.559461,Short
Greedy,Minimax,player2,46,0.0001807109169338,0.9981490425441576,2025-12-15T18:29:54.525858,Short
Minimax,Greedy,player1,49,1.121877155303955,6.478031476338704e-05,2025-12-15T18:30:22.574919,Short
Greedy,Minimax,player2,46,0.0002733209858769,0.9562516419783884,2025-12-15T18:30:44.576658,Short
Minimax,Greedy,player1,21,1.0664079622788862,0.000200605392456,2025-12-15T18:30:56.311144,Short
Greedy,Minimax,player2,46,0.000226995219355,0.9850773811340332,2025-12-15T18:31:18.974187,Short
Minimax,Greedy,player1,49,1.1208385562896728,0.0002573827902475,2025-12-15T18:31:47.001328,Short
Greedy,Minimax,player2,46,0.0002004789269488,1.0693380107050356,2025-12-15T18:32:11.602743,Short
Minimax,Greedy,player1,17,0.9871153831481934,0.0001298487186431,2025-12-15T18:32:20.487820,Short
AlphaBeta,Hybrid,player1,27,1.1007726873670305,0.1077731756063608,2025-12-15T17:58:23.383019,Short
Hybrid,AlphaBeta,player2,130,0.2562500366797814,2.5449086592747614,2025-12-15T18:01:25.469851,Long
AlphaBeta,Hybrid,player1,27,1.1231508595602853,0.1094325872567983,2025-12-15T18:01:42.619221,Short
Hybrid,AlphaBeta,player2,30,0.1974598884582519,1.4622125307718912,2025-12-15T18:02:07.514308,Short
AlphaBeta,Hybrid,player1,27,1.1231683152062553,0.1097070437211256,2025-12-15T18:02:24.666178,Short
Hybrid,AlphaBeta,player2,24,0.126236617565155,1.0798882047335308,2025-12-15T18:02:39.141264,Short
AlphaBeta,Hybrid,player1,27,1.1315330948148454,0.1094719996819129,2025-12-15T18:02:56.406374,Short
Hybrid,AlphaBeta,player2,24,0.1536078850428263,1.4944509466489155,2025-12-15T18:03:16.183080,Short
AlphaBeta,Hybrid,player1,27,1.1299577099936349,0.1115493774414062,2025-12-15T18:03:33.456305,Short
Hybrid,AlphaBeta,player2,44,0.1919940493323586,1.649439974264665,2025-12-15T18:04:13.970527,Short
AlphaBeta,Hybrid,player1,27,1.098874637058803,0.1085276787097637,2025-12-15T18:04:30.768713,Short
Hybrid,AlphaBeta,player2,62,0.2444246199823194,1.5026194510921356,2025-12-15T18:05:24.928157,Medium
AlphaBeta,Hybrid,player1,27,1.1116225719451904,0.1110279743488018,2025-12-15T18:05:41.936374,Short
Hybrid,AlphaBeta,player2,24,0.1382700403531392,1.1633296410242715,2025-12-15T18:05:57.556138,Short
